Invoice,StockCode,Description,Quantity,Price,Customer ID,Country,InvoiceDate
529591,84946,ANTIQUE SILVER TEA GLASS ETCHED,24,1.25,12921.0,United Kingdom,2026-03-24
529591,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,48,0.85,12921.0,United Kingdom,2026-03-24
529591,21929,JUMBO BAG PINK VINTAGE PAISLEY,20,1.95,12921.0,United Kingdom,2026-03-24
529591,21931,JUMBO STORAGE BAG SUKI,20,1.95,12921.0,United Kingdom,2026-03-24
529591,84950,ASSORTED COLOUR T-LIGHT HOLDER,24,0.65,12921.0,United Kingdom,2026-03-24
529591,22386,JUMBO BAG PINK POLKADOT,20,1.95,12921.0,United Kingdom,2026-03-24
529591,85099C,JUMBO  BAG BAROQUE BLACK WHITE,30,1.95,12921.0,United Kingdom,2026-03-24
529591,21928,JUMBO BAG SCANDINAVIAN PAISLEY,30,1.95,12921.0,United Kingdom,2026-03-24
529591,84879,ASSORTED COLOUR BIRD ORNAMENT,32,1.69,12921.0,United Kingdom,2026-03-24
529591,22385,JUMBO BAG SPACEBOY DESIGN,20,1.95,12921.0,United Kingdom,2026-03-24
529592,22865,HAND WARMER OWL DESIGN,24,2.1,12921.0,United Kingdom,2026-03-24
529592,22866,HAND WARMER SCOTTY DOG DESIGN,24,2.1,12921.0,United Kingdom,2026-03-24
529592,22867,HAND WARMER BIRD DESIGN,12,2.1,12921.0,United Kingdom,2026-03-24
529592,22779,WOODEN OWLS LIGHT GARLAND ,4,4.25,12921.0,United Kingdom,2026-03-24
529592,22632,HAND WARMER RED POLKA DOT,12,2.1,12921.0,United Kingdom,2026-03-24
529592,22780,LIGHT GARLAND BUTTERFILES PINK,4,4.25,12921.0,United Kingdom,2026-03-24
529593,21042,RED RETROSPOT APRON ,3,5.95,12921.0,United Kingdom,2026-03-24
529593,47590A,BLUE HAPPY BIRTHDAY BUNTING,3,5.45,12921.0,United Kingdom,2026-03-24
529593,22332,SKULLS PARTY BAG + STICKER SET,8,1.65,12921.0,United Kingdom,2026-03-24
529593,21989,PACK OF 20 SKULL PAPER NAPKINS,12,0.85,12921.0,United Kingdom,2026-03-24
529593,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,0.85,12921.0,United Kingdom,2026-03-24
529593,21094,SET/6 RED SPOTTY PAPER PLATES,12,0.85,12921.0,United Kingdom,2026-03-24
529593,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,6,3.75,12921.0,United Kingdom,2026-03-24
529593,21154,RED RETROSPOT OVEN GLOVE ,10,1.25,12921.0,United Kingdom,2026-03-24
529593,84692,BOX OF 24 COCKTAIL PARASOLS,25,0.42,12921.0,United Kingdom,2026-03-24
529593,22384,LUNCH BAG PINK POLKADOT,20,1.65,12921.0,United Kingdom,2026-03-24
529593,20727,LUNCH BAG  BLACK SKULL.,20,1.65,12921.0,United Kingdom,2026-03-24
529593,20725,LUNCH BAG RED RETROSPOT,10,1.65,12921.0,United Kingdom,2026-03-24
529593,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,12921.0,United Kingdom,2026-03-24
529593,20674,GREEN POLKADOT BOWL,16,1.25,12921.0,United Kingdom,2026-03-24
529593,21245,GREEN POLKADOT PLATE ,8,1.69,12921.0,United Kingdom,2026-03-24
529593,20675,BLUE POLKADOT BOWL,16,1.25,12921.0,United Kingdom,2026-03-24
529593,20677,PINK POLKADOT BOWL,16,1.25,12921.0,United Kingdom,2026-03-24
529593,20676,RED RETROSPOT BOWL,16,1.25,12921.0,United Kingdom,2026-03-24
529594,22098,BOUDOIR SQUARE TISSUE BOX,12,1.25,13476.0,United Kingdom,2026-03-24
529594,22609,PENS ASSORTED SPACEBALL,36,0.85,13476.0,United Kingdom,2026-03-24
529594,21535,RED RETROSPOT SMALL MILK JUG,6,2.55,13476.0,United Kingdom,2026-03-24
529594,22485,SET OF 2 WOODEN MARKET CRATES,2,12.75,13476.0,United Kingdom,2026-03-24
529594,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.95,13476.0,United Kingdom,2026-03-24
529594,22625,RED KITCHEN SCALES,2,8.5,13476.0,United Kingdom,2026-03-24
529594,22070,SMALL RED RETROSPOT MUG IN BOX ,6,3.75,13476.0,United Kingdom,2026-03-24
529594,22423,REGENCY CAKESTAND 3 TIER,3,12.75,13476.0,United Kingdom,2026-03-24
529594,22697,GREEN REGENCY TEACUP AND SAUCER,6,2.95,13476.0,United Kingdom,2026-03-24
529594,22698,PINK REGENCY TEACUP AND SAUCER,6,2.95,13476.0,United Kingdom,2026-03-24
529594,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2.95,13476.0,United Kingdom,2026-03-24
529594,21843,RED RETROSPOT CAKE STAND,1,10.95,13476.0,United Kingdom,2026-03-24
529594,37450,CERAMIC CAKE BOWL + HANGING CAKES,6,2.95,13476.0,United Kingdom,2026-03-24
529594,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,1.25,13476.0,United Kingdom,2026-03-24
529595,85099B,JUMBO BAG RED RETROSPOT,40,1.95,15887.0,United Kingdom,2026-03-24
529595,85099F,JUMBO BAG STRAWBERRY,40,1.95,15887.0,United Kingdom,2026-03-24
529595,85099C,JUMBO  BAG BAROQUE BLACK WHITE,40,1.95,15887.0,United Kingdom,2026-03-24
529595,21931,JUMBO STORAGE BAG SUKI,40,1.95,15887.0,United Kingdom,2026-03-24
529595,20711,JUMBO BAG TOYS ,40,1.95,15887.0,United Kingdom,2026-03-24
529596,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,3.95,13767.0,United Kingdom,2026-03-24
529596,22726,ALARM CLOCK BAKELIKE GREEN,8,3.75,13767.0,United Kingdom,2026-03-24
529596,22727,ALARM CLOCK BAKELIKE RED ,8,3.75,13767.0,United Kingdom,2026-03-24
529596,22729,ALARM CLOCK BAKELIKE ORANGE,8,3.75,13767.0,United Kingdom,2026-03-24
529596,48184,DOORMAT ENGLISH ROSE ,6,7.95,13767.0,United Kingdom,2026-03-24
